date,negative,neutral,positive
2018-07-15,20,20,60
2018-07-16,18,20,62
2018-07-17,19,31,50
2018-07-18,28,20,52
2018-07-19,26,13,61
2018-07-20,24,18,58
2018-07-21,22,20,58
2018-07-22,30,16,54
2018-07-23,19,35,46
2018-07-24,17,19,64
2018-07-25,20,31,49
2018-07-26,13,31,56
2018-07-27,24,19,57
2018-07-28,20,13,67
2018-07-29,20,17,63
2018-07-30,12,19,69
2018-07-31,13,16,71
2018-08-01,31,11,58
2018-08-02,19,15,66
2018-08-03,24,11,65
2018-08-04,20,20,60
2018-08-05,19,24,57
2018-08-06,17,34,49
2018-08-07,30,17,53
2018-08-08,25,23,52
2018-08-09,19,15,66
2018-08-10,24,14,62
2018-08-11,21,20,59
2018-08-12,18,13,69
2018-08-13,24,12,64
2018-08-14,14,28,58
2018-08-15,20,20,60
2018-08-16,38,8,54
2018-08-17,27,22,51
2018-08-18,25,11,64
2018-08-19,22,17,61
2018-08-20,25,15,60
2018-08-21,26,22,52
2018-08-22,23,18,59
2018-08-23,21,23,56
2018-08-24,22,19,59
2018-08-25,24,12,64
2018-08-26,29,14,57
2018-08-27,21,25,54
2018-08-28,40,22,38
2018-08-29,20,19,61
2018-08-30,16,36,48
2018-08-31,20,23,57
2018-09-01,23,12,65
2018-09-02,23,24,53
2018-09-03,16,16,68
2018-09-04,17,26,57
2018-09-05,27,23,50
2018-09-06,26,21,53
2018-09-07,20,19,61
2018-09-08,20,17,63
2018-09-09,22,21,57
2018-09-10,21,22,57
2018-09-11,33,14,53
2018-09-12,24,6,70
2018-09-13,19,20,61
2018-09-14,21,27,52
2018-09-15,23,21,56
2018-09-16,11,15,74
2018-09-17,22,23,55
2018-09-18,17,26,57
2018-09-19,25,19,56
2018-09-20,26,19,55
2018-09-21,18,25,57
2018-09-22,23,27,50
2018-09-23,0,0,0
2018-09-24,0,0,0
2018-09-25,0,0,0
2018-09-26,0,0,0
2018-09-27,0,0,0
2018-09-28,0,0,0
2018-09-29,0,0,0
2018-09-30,0,0,0
2018-10-01,0,0,0
2018-10-02,0,0,0
2018-10-03,0,0,0
2018-10-04,0,0,0
2018-10-05,0,0,0
2018-10-06,0,0,0
2018-10-07,0,0,0
2018-10-08,0,0,0
2018-10-09,0,0,0
2018-10-10,18,24,58
2018-10-11,20,18,62
2018-10-12,23,17,60
2018-10-13,24,15,61
2018-10-14,16,26,58
2018-10-15,26,14,60
2018-10-16,16,27,57
2018-10-17,16,8,76
2018-10-18,21,12,67
2018-10-19,28,12,60
2018-10-20,29,17,54
2018-10-21,16,22,62
2018-10-22,15,19,66
2018-10-23,19,14,67
2018-10-24,32,16,52
2018-10-25,23,18,59
2018-10-26,22,15,63
2018-10-27,31,14,55
2018-10-28,23,17,60
2018-10-29,20,12,68
2018-10-30,21,22,57
2018-10-31,28,17,55
2018-11-01,33,19,48
2018-11-02,17,21,62
2018-11-03,18,29,53
2018-11-04,28,9,63
2018-11-05,24,28,48
2018-11-06,12,34,54
2018-11-07,18,22,60
2018-11-08,36,13,51
2018-11-09,33,19,48
2018-11-10,19,17,64
2018-11-11,24,12,64
2018-11-12,27,14,59
2018-11-13,6,17,77
2018-11-14,20,24,56
2018-11-15,26,18,56
2018-11-16,11,38,51
2018-11-17,30,13,57
2018-11-18,26,25,49
2018-11-19,18,20,62
2018-11-20,25,12,63
2018-11-21,18,23,59
2018-11-22,12,30,58
2018-11-23,32,20,48
2018-11-24,20,15,65
2018-11-25,21,42,37
2018-11-26,7,37,56
2018-11-27,26,10,64
2018-11-28,14,25,61
2018-11-29,12,41,47
2018-11-30,13,6,81
2018-12-01,19,10,71
2018-12-02,19,20,61
2018-12-03,17,37,46
2018-12-04,16,32,52
2018-12-05,19,23,58
2018-12-06,26,12,62
